Year,Month,Day,Hour,Wave_Height,Wave_Dir,Wave_Period
2005,2,1,0,0,9999,9999
2005,2,1,3,1.16,3.88,9999
2005,2,1,6,1.6,4.74,9999
2005,2,1,9,1.79,5.27,9999
2005,2,1,12,1.66,5.69,9999
2005,2,1,15,1.51,5.79,9999
2005,2,1,18,1.5,5.75,9999
2005,2,1,21,1.74,5.49,9999
2005,2,2,0,1.96,6.29,9999
2005,2,2,3,2.11,6.84,9999
2005,2,2,6,2.15,7.08,9999
2005,2,2,9,2.2,7.38,9999
2005,2,2,12,2.31,7.86,9999
2005,2,2,15,2.34,8.16,9999
2005,2,2,18,2.21,8.43,9999
2005,2,2,21,2.15,8.56,9999
2005,2,3,0,2.3,7.32,9999
2005,2,3,3,2.52,7.22,9999
2005,2,3,6,2.66,7.63,9999
2005,2,3,9,2.79,8.06,9999
2005,2,3,12,2.92,8.87,9999
2005,2,3,15,3.15,9.88,9999
2005,2,3,18,3.46,12.34,9999
2005,2,3,21,3.8,13.12,9999
2005,2,4,0,4.3,13.22,9999
2005,2,4,3,4.82,9.32,9999
2005,2,4,6,4.93,10.14,9999
2005,2,4,9,4.93,10.98,9999
2005,2,4,12,5.11,11.88,9999
2005,2,4,15,4.83,11.84,9999
2005,2,4,18,4.23,11.58,9999
2005,2,4,21,3.82,11.72,9999
2005,2,5,0,3.7,11.66,9999
2005,2,5,3,3.66,11.57,9999
2005,2,5,6,3.54,10.65,9999
2005,2,5,9,3.38,10.74,9999
2005,2,5,12,3.29,10.79,9999
2005,2,5,15,3.51,10.84,9999
2005,2,5,18,3.78,10.76,9999
2005,2,5,21,3.91,10.63,9999
2005,2,6,0,3.86,10.6,9999
2005,2,6,3,3.8,10.69,9999
2005,2,6,6,3.76,10.73,9999
2005,2,6,9,3.71,7.58,9999
2005,2,6,12,3.45,7.56,9999
2005,2,6,15,3.15,7.49,9999
2005,2,6,18,3.08,7.41,9999
2005,2,6,21,3.15,7.46,9999
2005,2,7,0,3.24,7.53,9999
2005,2,7,3,3.37,7.62,9999
2005,2,7,6,3.52,7.78,9999
2005,2,7,9,3.55,8.03,9999
2005,2,7,12,3.36,8.07,9999
2005,2,7,15,3.68,8.03,9999
2005,2,7,18,4.68,8.39,9999
2005,2,7,21,5.25,8.96,9999
2005,2,8,0,5.59,9.13,9999
2005,2,8,3,5.79,9.22,9999
2005,2,8,6,6.06,9.3,9999
2005,2,8,9,6.34,9.43,9999
2005,2,8,12,6.22,9.65,9999
2005,2,8,15,6.05,9.49,9999
2005,2,8,18,6.01,9.37,9999
2005,2,8,21,6.14,9.31,9999
2005,2,9,0,6.31,9.36,9999
2005,2,9,3,6.55,9.42,9999
2005,2,9,6,6.65,9.49,9999
2005,2,9,9,6.39,9.36,9999
2005,2,9,12,6.15,9.3,9999
2005,2,9,15,6.21,13.53,9999
2005,2,9,18,6.4,14.2,9999
2005,2,9,21,6.46,14.38,9999
2005,2,10,0,6.31,14.45,9999
2005,2,10,3,6.16,14.48,9999
2005,2,10,6,6.13,14.5,9999
2005,2,10,9,5.98,14.47,9999
2005,2,10,12,5.99,14.51,9999
2005,2,10,15,5.98,14.57,9999
2005,2,10,18,5.84,15.09,9999
2005,2,10,21,5.61,15.32,9999
2005,2,11,0,5.39,15.16,9999
2005,2,11,3,5.11,14.88,9999
2005,2,11,6,4.86,14.7,9999
2005,2,11,9,4.68,14.48,9999
2005,2,11,12,4.66,14.23,9999
2005,2,11,15,4.62,13.36,9999
2005,2,11,18,4.48,13.04,9999
2005,2,11,21,4.27,10.93,9999
2005,2,12,0,4.07,10.79,9999
2005,2,12,3,3.89,10.49,9999
2005,2,12,6,3.68,10.24,9999
2005,2,12,9,3.41,10.11,9999
2005,2,12,12,3.14,9.95,9999
2005,2,12,15,2.92,9.75,9999
2005,2,12,18,2.74,9.68,9999
2005,2,12,21,2.56,9.69,9999
2005,2,13,0,2.38,9.68,9999
2005,2,13,3,2.31,9.57,9999
2005,2,13,6,2.65,9.38,9999
2005,2,13,9,3.62,8.53,9999
2005,2,13,12,4.34,8.78,9999
2005,2,13,15,4.29,8.98,9999
2005,2,13,18,4.46,8.98,9999
2005,2,13,21,5.31,9.25,9999
2005,2,14,0,6.02,10.12,9999
2005,2,14,3,6.21,10.72,9999
2005,2,14,6,5.94,11.14,9999
2005,2,14,9,5.6,11.29,9999
2005,2,14,12,5.26,11.42,9999
2005,2,14,15,4.82,11.36,9999
2005,2,14,18,4.33,11.16,9999
2005,2,14,21,3.85,10.95,9999
2005,2,15,0,3.43,10.66,9999
2005,2,15,3,3.07,10.13,9999
2005,2,15,6,2.78,9.93,9999
2005,2,15,9,2.55,9.76,9999
2005,2,15,12,2.32,9.44,9999
2005,2,15,15,2.09,9.19,9999
2005,2,15,18,1.83,9.1,9999
2005,2,15,21,1.58,9.03,9999
2005,2,16,0,1.55,8.99,9999
2005,2,16,3,1.81,4.37,9999
2005,2,16,6,2.41,5.34,9999
2005,2,16,9,3.19,6.37,9999
2005,2,16,12,3.78,7.26,9999
2005,2,16,15,4.05,7.78,9999
2005,2,16,18,3.96,8.08,9999
2005,2,16,21,3.87,8.41,9999
2005,2,17,0,4.37,10.99,9999
2005,2,17,3,5.13,12.34,9999
2005,2,17,6,5.31,12.52,9999
2005,2,17,9,5.07,12.86,9999
2005,2,17,12,4.7,12.97,9999
2005,2,17,15,4.28,12.97,9999
2005,2,17,18,3.96,12.93,9999
2005,2,17,21,3.81,12.88,9999
2005,2,18,0,3.88,12.79,9999
2005,2,18,3,4.05,12.52,9999
2005,2,18,6,4.08,12.12,9999
2005,2,18,9,4.1,11.95,9999
2005,2,18,12,4.14,11.85,9999
2005,2,18,15,4.18,11.71,9999
2005,2,18,18,4.24,11.29,9999
2005,2,18,21,4.59,9.45,9999
2005,2,19,0,5.08,9.88,9999
2005,2,19,3,5.32,10.11,9999
2005,2,19,6,5.32,10.38,9999
2005,2,19,9,5.51,10.85,9999
2005,2,19,12,5.57,10.85,9999
2005,2,19,15,5.44,10.74,9999
2005,2,19,18,5.3,10.69,9999
2005,2,19,21,5.2,10.75,9999
2005,2,20,0,5.02,10.87,9999
2005,2,20,3,4.91,10.95,9999
2005,2,20,6,5,10.91,9999
2005,2,20,9,5.01,10.86,9999
2005,2,20,12,4.69,10.85,9999
2005,2,20,15,4.3,10.8,9999
2005,2,20,18,3.96,10.73,9999
2005,2,20,21,3.64,10.62,9999
2005,2,21,0,3.34,10.39,9999
2005,2,21,3,3.07,10.14,9999
2005,2,21,6,2.82,10.05,9999
2005,2,21,9,2.62,10.01,9999
2005,2,21,12,2.44,9.95,9999
2005,2,21,15,2.25,9.86,9999
2005,2,21,18,2.06,9.75,9999
2005,2,21,21,1.87,9.61,9999
2005,2,22,0,1.71,9.17,9999
2005,2,22,3,1.57,8.95,9999
2005,2,22,6,1.5,8.81,9999
2005,2,22,9,1.58,8.54,9999
2005,2,22,12,1.85,5.3,9999
2005,2,22,15,2.06,5.98,9999
2005,2,22,18,2.05,6.41,9999
2005,2,22,21,1.94,6.72,9999
2005,2,23,0,1.81,6.94,9999
2005,2,23,3,1.68,6.97,9999
2005,2,23,6,1.63,6.99,9999
2005,2,23,9,1.59,6.94,9999
2005,2,23,12,1.45,6.77,9999
2005,2,23,15,1.27,6.46,9999
2005,2,23,18,1.11,6.38,9999
2005,2,23,21,0.99,13.16,9999
2005,2,24,0,0.92,13,9999
2005,2,24,3,0.92,12.8,9999
2005,2,24,6,0.96,12.49,9999
2005,2,24,9,1.09,12.28,9999
2005,2,24,12,1.19,12.16,9999
2005,2,24,15,1.22,12.14,9999
2005,2,24,18,1.22,12.26,9999
2005,2,24,21,1.19,12.86,9999
2005,2,25,0,1.07,13.04,9999
2005,2,25,3,0.94,13.06,9999
2005,2,25,6,0.94,12.97,9999
2005,2,25,9,1.03,12.79,9999
2005,2,25,12,1.04,12.28,9999
2005,2,25,15,1.09,12.06,9999
2005,2,25,18,1.27,4.29,9999
2005,2,25,21,1.65,4.74,9999
2005,2,26,0,2.03,5.31,9999
2005,2,26,3,2.24,5.79,9999
2005,2,26,6,2.39,6.25,9999
2005,2,26,9,2.63,6.87,9999
2005,2,26,12,2.76,7.53,9999
2005,2,26,15,2.8,8.31,9999
2005,2,26,18,2.82,9.09,9999
2005,2,26,21,2.8,9.69,9999
2005,2,27,0,2.74,9.99,9999
2005,2,27,3,2.64,10.13,9999
2005,2,27,6,2.49,10.16,9999
2005,2,27,9,2.33,10.12,9999
2005,2,27,12,2.18,10.05,9999
2005,2,27,15,2.02,9.97,9999
2005,2,27,18,1.87,9.9,9999
2005,2,27,21,1.74,9.8,9999
2005,2,28,0,1.65,9.65,9999
2005,2,28,3,1.66,9.41,9999
2005,2,28,6,1.87,9.29,9999
2005,2,28,9,2.11,6.01,9999
2005,2,28,12,2.17,6.74,9999
2005,2,28,15,2.16,6.97,9999
2005,2,28,18,2.12,7.03,9999
2005,2,28,21,2.1,6.95,9999
2005,3,1,0,2.05,6.92,339.61
2005,3,1,3,2.03,6.85,350.04
2005,3,1,6,2.45,6.74,18.87
2005,3,1,9,2.78,7.4,23.5
2005,3,1,12,2.65,7.63,22.77
2005,3,1,15,2.31,7.56,18.04
2005,3,1,18,1.99,7.37,9.89
2005,3,1,21,1.75,7.1,14.68
2005,3,2,0,1.55,8.62,336.6
2005,3,2,3,1.6,8.54,331.37
2005,3,2,6,2.1,9.9,310.73
2005,3,2,9,2.83,10.69,316.78
2005,3,2,12,3.72,11.21,328.63
2005,3,2,15,4.44,11.76,336.36
2005,3,2,18,4.86,11.89,340.86
2005,3,2,21,4.95,11.78,344.39
2005,3,3,0,4.63,11.43,346.43
2005,3,3,3,4.24,11.03,350.06
2005,3,3,6,3.93,10.92,354.42
2005,3,3,9,3.61,10.87,359.03
2005,3,3,12,3.23,10.77,2.57
2005,3,3,15,2.88,10.54,4.26
2005,3,3,18,3.11,10.16,6.77
2005,3,3,21,3.27,6.64,262.2
2005,3,4,0,3.21,7.03,273.74
2005,3,4,3,3.15,7.44,287.28
2005,3,4,6,3.18,7.51,293.7
2005,3,4,9,3.25,7.89,300.14
2005,3,4,12,3.57,8.94,301.24
2005,3,4,15,4.3,9.93,299.52
2005,3,4,18,4.82,10.85,302.6
2005,3,4,21,4.66,11.05,305.81
2005,3,5,0,4.5,11.24,307.11
2005,3,5,3,4.3,11.41,308.93
2005,3,5,6,3.94,11.24,311.57
2005,3,5,9,3.6,11.02,314.2
2005,3,5,12,3.33,10.78,317.92
2005,3,5,15,3.2,10.34,323.89
2005,3,5,18,3.11,9.9,328.11
2005,3,5,21,2.9,9.38,333.73
2005,3,6,0,2.62,9.02,336.17
2005,3,6,3,2.33,8.69,336.26
2005,3,6,6,2.13,8.25,341.34
2005,3,6,9,2.07,8.03,338.55
2005,3,6,12,2.23,7.32,328.18
2005,3,6,15,2.42,7.42,325.51
2005,3,6,18,2.57,7.56,324.86
2005,3,6,21,2.64,7.69,325.17
2005,3,7,0,2.61,8.11,327.03
2005,3,7,3,2.54,8.27,326.05
2005,3,7,6,2.6,8.14,325.11
2005,3,7,9,2.79,8.06,325.26
2005,3,7,12,2.9,8.22,325.56
2005,3,7,15,2.89,8.33,324.73
2005,3,7,18,2.84,8.35,323.62
2005,3,7,21,2.83,8.29,322.46
2005,3,8,0,2.87,8.19,320.87
2005,3,8,3,2.89,8.04,319.36
2005,3,8,6,3.17,7.69,323.43
2005,3,8,9,3.55,7.76,323.31
2005,3,8,12,3.59,8.04,323.11
2005,3,8,15,3.43,8.19,326.99
2005,3,8,18,3.24,8.28,332.56
2005,3,8,21,3.05,9.98,4.48
2005,3,9,0,2.87,9.88,5.6
2005,3,9,3,2.7,9.77,5.27
2005,3,9,6,2.57,9.64,4.87
2005,3,9,9,2.44,12.04,265.96
2005,3,9,12,2.32,11.89,265.1
2005,3,9,15,2.16,11.72,265.3
2005,3,9,18,2.01,11.48,281.84
2005,3,9,21,1.87,11.27,280.3
2005,3,10,0,1.78,11.26,279.79
2005,3,10,3,1.79,11.33,277.66
2005,3,10,6,1.91,11.19,274.15
2005,3,10,9,2.08,11.03,271.18
2005,3,10,12,2.33,6.17,262.29
2005,3,10,15,2.81,6.84,263.1
2005,3,10,18,3.1,7.45,270
2005,3,10,21,3.07,7.75,273.69
2005,3,11,0,2.98,7.98,274.33
2005,3,11,3,3.08,7.93,280.79
2005,3,11,6,3.55,8.08,299.73
2005,3,11,9,4.15,8.81,307.76
2005,3,11,12,4.36,9.28,310.86
2005,3,11,15,4.3,9.53,310.53
2005,3,11,18,4.3,10.15,305.43
2005,3,11,21,4.61,11.4,306.05
2005,3,12,0,4.8,11.72,312.45
2005,3,12,3,4.88,12.13,317.82
2005,3,12,6,5.2,14.16,325.4
2005,3,12,9,5.57,13.69,333.19
2005,3,12,12,5.62,13.48,336.53
2005,3,12,15,5.42,13.36,339.29
2005,3,12,18,5.2,13.21,341.11
2005,3,12,21,5.13,14.18,341.59
2005,3,13,0,5.15,14.03,343.88
2005,3,13,3,5.21,13.47,347.55
2005,3,13,6,5.22,13.13,349.69
2005,3,13,9,5.2,12.67,349.3
2005,3,13,12,4.99,12.18,351.61
2005,3,13,15,4.64,11.99,354.23
2005,3,13,18,4.27,11.9,357.04
2005,3,13,21,3.96,11.83,359.34
2005,3,14,0,3.72,11.76,0.55
2005,3,14,3,3.57,11.61,1.01
2005,3,14,6,3.46,11.32,3.22
2005,3,14,9,3.39,11.13,3.78
2005,3,14,12,3.39,11.02,3.53
2005,3,14,15,3.46,10.92,2.64
2005,3,14,18,3.46,10.79,1.15
2005,3,14,21,3.38,10.56,359.34
2005,3,15,0,3.26,10.32,2.75
2005,3,15,3,3.13,10.21,2.03
2005,3,15,6,2.99,10.15,0.65
2005,3,15,9,2.89,10.06,358.79
2005,3,15,12,2.83,9.95,357.23
2005,3,15,15,2.77,9.82,356.35
2005,3,15,18,2.71,9.73,356.09
2005,3,15,21,2.65,9.71,356.05
2005,3,16,0,2.58,14.85,257.2
2005,3,16,3,2.49,14.65,256.85
2005,3,16,6,2.5,9.72,357.13
2005,3,16,9,2.52,9.74,358.39
2005,3,16,12,2.55,9.79,359.43
2005,3,16,15,2.6,9.82,359.78
2005,3,16,18,2.75,9.67,359.59
2005,3,16,21,2.85,9.05,0.03
2005,3,17,0,3.01,7.28,19.21
2005,3,17,3,3.17,7.57,21.92
2005,3,17,6,3.24,7.66,23.98
