YYYY  MM  DD  HH  mn     Hs(m)     Tp(s)  TheH(°N)   WS(m/s)  Thew(°N)
2005   2   1   0   0     0.000  9999.000  9999.000     4.870   305.387
2005   2   1   3   0     1.160     3.880  9999.000    12.732   323.238
2005   2   1   6   0     1.600     4.740  9999.000     9.811   327.233
2005   2   1   9   0     1.790     5.270  9999.000    10.869   330.392
2005   2   1  12   0     1.660     5.690  9999.000     8.987   318.202
2005   2   1  15   0     1.510     5.790  9999.000     7.059   293.369
2005   2   1  18   0     1.500     5.750  9999.000     8.044   275.994
2005   2   1  21   0     1.740     5.490  9999.000    10.903   301.766
2005   2   2   0   0     1.960     6.290  9999.000     7.171   295.171
2005   2   2   3   0     2.110     6.840  9999.000     6.124   303.950
2005   2   2   6   0     2.150     7.080  9999.000     5.301   322.049
2005   2   2   9   0     2.200     7.380  9999.000     7.910   329.707
2005   2   2  12   0     2.310     7.860  9999.000     8.444   319.803
2005   2   2  15   0     2.340     8.160  9999.000     6.819   285.218
2005   2   2  18   0     2.210     8.430  9999.000     7.814   242.484
2005   2   2  21   0     2.150     8.560  9999.000    12.431   237.985
2005   2   3   0   0     2.300     7.320  9999.000    11.236   251.097
2005   2   3   3   0     2.520     7.220  9999.000     9.913   276.953
2005   2   3   6   0     2.660     7.630  9999.000     8.900   273.801
2005   2   3   9   0     2.790     8.060  9999.000     8.351   262.501
2005   2   3  12   0     2.920     8.870  9999.000     7.220   248.125
2005   2   3  15   0     3.150     9.880  9999.000     5.328   230.484
2005   2   3  18   0     3.460    12.340  9999.000    11.283   218.089
2005   2   3  21   0     3.800    13.120  9999.000    13.786   212.860
2005   2   4   0   0     4.300    13.220  9999.000    21.780   218.775
2005   2   4   3   0     4.820     9.320  9999.000    15.912   232.892
2005   2   4   6   0     4.930    10.140  9999.000    14.298   241.876
2005   2   4   9   0     4.930    10.980  9999.000    11.408   254.075
2005   2   4  12   0     5.110    11.880  9999.000     9.535   255.235
2005   2   4  15   0     4.830    11.840  9999.000     5.727   247.734
2005   2   4  18   0     4.230    11.580  9999.000     8.686   228.547
2005   2   4  21   0     3.820    11.720  9999.000     3.818   194.255
2005   2   5   0   0     3.700    11.660  9999.000     2.013   165.619
2005   2   5   3   0     3.660    11.570  9999.000     0.721    92.386
2005   2   5   6   0     3.540    10.650  9999.000     2.349    51.569
2005   2   5   9   0     3.380    10.740  9999.000     7.244    48.918
2005   2   5  12   0     3.290    10.790  9999.000     9.822    51.905
2005   2   5  15   0     3.510    10.840  9999.000    15.245    48.457
2005   2   5  18   0     3.780    10.760  9999.000    17.304    50.699
2005   2   5  21   0     3.910    10.630  9999.000    15.170    50.886
2005   2   6   0   0     3.860    10.600  9999.000    10.353    36.239
2005   2   6   3   0     3.800    10.690  9999.000     2.435    38.329
2005   2   6   6   0     3.760    10.730  9999.000     5.646   165.644
2005   2   6   9   0     3.710     7.580  9999.000    10.482   182.789
2005   2   6  12   0     3.450     7.560  9999.000    12.698   175.030
2005   2   6  15   0     3.150     7.490  9999.000    10.659   172.182
2005   2   6  18   0     3.080     7.410  9999.000    11.366   163.542
2005   2   6  21   0     3.150     7.460  9999.000    12.815   165.031
2005   2   7   0   0     3.240     7.530  9999.000    11.829   170.315
2005   2   7   3   0     3.370     7.620  9999.000    12.610   166.658
2005   2   7   6   0     3.520     7.780  9999.000    13.581   176.116
2005   2   7   9   0     3.550     8.030  9999.000    14.868   196.448
2005   2   7  12   0     3.360     8.070  9999.000    15.895   205.888
2005   2   7  15   0     3.680     8.030  9999.000    11.556   194.842
2005   2   7  18   0     4.680     8.390  9999.000    17.829   173.106
2005   2   7  21   0     5.250     8.960  9999.000    19.452   181.974
2005   2   8   0   0     5.590     9.130  9999.000    21.583   188.956
2005   2   8   3   0     5.790     9.220  9999.000    20.904   195.938
2005   2   8   6   0     6.060     9.300  9999.000    20.112   202.727
2005   2   8   9   0     6.340     9.430  9999.000    18.304   203.778
2005   2   8  12   0     6.220     9.650  9999.000    19.719   205.149
2005   2   8  15   0     6.050     9.490  9999.000    15.535   200.616
2005   2   8  18   0     6.010     9.370  9999.000    18.406   201.114
2005   2   8  21   0     6.140     9.310  9999.000    17.828   202.595
2005   2   9   0   0     6.310     9.360  9999.000    20.493   202.523
2005   2   9   3   0     6.550     9.420  9999.000    17.042   204.399
2005   2   9   6   0     6.650     9.490  9999.000    20.539   205.030
2005   2   9   9   0     6.390     9.360  9999.000    18.085   215.571
2005   2   9  12   0     6.150     9.300  9999.000    15.672   220.316
2005   2   9  15   0     6.210    13.530  9999.000    11.138   225.618
2005   2   9  18   0     6.400    14.200  9999.000    15.818   206.711
2005   2   9  21   0     6.460    14.380  9999.000    18.686   217.673
2005   2  10   0   0     6.310    14.450  9999.000    15.574   222.892
2005   2  10   3   0     6.160    14.480  9999.000    15.188   254.417
2005   2  10   6   0     6.130    14.500  9999.000    12.347   246.009
2005   2  10   9   0     5.980    14.470  9999.000    11.789   251.657
2005   2  10  12   0     5.990    14.510  9999.000    13.973   245.746
2005   2  10  15   0     5.980    14.570  9999.000    12.113   299.041
2005   2  10  18   0     5.840    15.090  9999.000    10.592   302.430
2005   2  10  21   0     5.610    15.320  9999.000    12.381   309.527
2005   2  11   0   0     5.390    15.160  9999.000    11.049   321.024
2005   2  11   3   0     5.110    14.880  9999.000    12.184   303.925
2005   2  11   6   0     4.860    14.700  9999.000    10.651   275.604
2005   2  11   9   0     4.680    14.480  9999.000    10.882   275.590
2005   2  11  12   0     4.660    14.230  9999.000    11.617   273.059
2005   2  11  15   0     4.620    13.360  9999.000    12.209   280.859
2005   2  11  18   0     4.480    13.040  9999.000     9.971   266.320
2005   2  11  21   0     4.270    10.930  9999.000     9.457   280.787
2005   2  12   0   0     4.070    10.790  9999.000     9.211   269.067
2005   2  12   3   0     3.890    10.490  9999.000     8.496   264.055
2005   2  12   6   0     3.680    10.240  9999.000     9.574   261.531
2005   2  12   9   0     3.410    10.110  9999.000     4.583   259.058
2005   2  12  12   0     3.140     9.950  9999.000     5.159   260.629
2005   2  12  15   0     2.920     9.750  9999.000     2.460   243.956
2005   2  12  18   0     2.740     9.680  9999.000     1.826   290.519
2005   2  12  21   0     2.560     9.690  9999.000     5.549    54.906
2005   2  13   0   0     2.380     9.680  9999.000     5.374    57.848
2005   2  13   3   0     2.310     9.570  9999.000     8.265    56.098
2005   2  13   6   0     2.650     9.380  9999.000    11.323    25.026
2005   2  13   9   0     3.620     8.530  9999.000    14.966   358.354
2005   2  13  12   0     4.340     8.780  9999.000    16.388   352.285
2005   2  13  15   0     4.290     8.980  9999.000    13.311   347.196
2005   2  13  18   0     4.460     8.980  9999.000    11.493   338.458
2005   2  13  21   0     5.310     9.250  9999.000    16.541   337.124
